,year,category,date_awarded,prize_amount,prize_amount_adjusted,top_motivation,laureate_id,motivation,portion
535,1978,Peace,1978-10-27,725000,3665192,,538,for jointly having negotiated peace between Egypt and Israel in 1978,1/2
536,1978,Peace,1978-10-27,725000,3665192,,539,for jointly having negotiated peace between Egypt and Israel in 1978,1/2
537,1978,Physics,1978-10-17,725000,3665192,,110,for his basic inventions and discoveries in the area of low-temperature physics,1/2
538,1978,Physics,1978-10-17,725000,3665192,,111,for their discovery of cosmic microwave background radiation,1/4
539,1978,Physics,1978-10-17,725000,3665192,,112,for their discovery of cosmic microwave background radiation,1/4
540,1978,Physiology or Medicine,1978-10-12,725000,3665192,,414,for the discovery of restriction enzymes and their application to problems of molecular genetics,1/3
541,1978,Physiology or Medicine,1978-10-12,725000,3665192,,415,for the discovery of restriction enzymes and their application to problems of molecular genetics,1/3
542,1978,Physiology or Medicine,1978-10-12,725000,3665192,,416,for the discovery of restriction enzymes and their application to problems of molecular genetics,1/3
543,1979,Chemistry,1979-10-15,800000,3778486,,252,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",1/2
544,1979,Chemistry,1979-10-15,800000,3778486,,253,"for their development of the use of boron- and phosphorus-containing compounds, respectively, into important reagents in organic synthesis",1/2
545,1979,Economic Sciences,1979-10-16,800000,3778486,,692,for their pioneering research into economic development research with particular consideration of the problems of developing countries,1/2
546,1979,Economic Sciences,1979-10-16,800000,3778486,,693,for their pioneering research into economic development research with particular consideration of the problems of developing countries,1/2
547,1979,Literature,1979-10-18,800000,3778486,,655,"for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness",1
548,1979,Peace,1979-10-27,800000,3778486,,540,for her work for bringing help to suffering humanity,1
549,1979,Physics,1979-10-15,800000,3778486,,113,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3
550,1979,Physics,1979-10-15,800000,3778486,,114,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3
551,1979,Physics,1979-10-15,800000,3778486,,115,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",1/3
552,1979,Physiology or Medicine,1979-10-11,800000,3778486,,417,for the development of computer assisted tomography,1/2
553,1979,Physiology or Medicine,1979-10-11,800000,3778486,,418,for the development of computer assisted tomography,1/2
554,1980,Chemistry,1980-10-14,880000,3654081,,254,"for his fundamental studies of the biochemistry of nucleic acids, with particular regard to recombinant-DNA",1/2
555,1980,Chemistry,1980-10-14,880000,3654081,,255,for their contributions concerning the determination of base sequences in nucleic acids,1/4
556,1980,Chemistry,1980-10-14,880000,3654081,,222,for their contributions concerning the determination of base sequences in nucleic acids,1/4
557,1980,Economic Sciences,1980-10-15,880000,3654081,,694,for the creation of econometric models and the application to the analysis of economic fluctuations and economic policies,1
558,1980,Literature,1980-10-09,880000,3654081,,657,who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts,1
559,1980,Peace,1980-10-27,880000,3654081,,541,"for being a source of inspiration to repressed people, especially in Latin America",1
560,1980,Physics,1980-10-14,880000,3654081,,116,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,1/2
561,1980,Physics,1980-10-14,880000,3654081,,117,for the discovery of violations of fundamental symmetry principles in the decay of neutral K-mesons,1/2
562,1980,Physiology or Medicine,1980-10-10,880000,3654081,,419,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3
563,1980,Physiology or Medicine,1980-10-10,880000,3654081,,420,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3
564,1980,Physiology or Medicine,1980-10-10,880000,3654081,,421,for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions,1/3
565,1981,Chemistry,1981-10-19,1000000,3704688,,257,"for their theories, developed independently, concerning the course of chemical reactions",1/2
